City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Tacuarembo,UY,-31.7333,-55.9833,62.17,91,100,7.72,overcast clouds
251,Longyearbyen,SJ,78.2186,15.6401,28.24,59,20,13.8,few clouds
252,Chokurdakh,RU,70.6333,147.9167,1.47,98,100,4.59,overcast clouds
253,Esso,RU,55.9333,158.7,24.53,87,94,16.4,light snow
254,Ust-Ilimsk,RU,58.0006,102.6619,35.69,81,89,2.98,overcast clouds
255,San Vicente,AR,-26.6167,-54.1333,62.44,99,100,6.58,overcast clouds
256,Narang,PK,31.9132,74.5176,77.09,48,79,13.0,broken clouds
257,Betsiamites,CA,48.9413,-68.646,50.4,91,74,7.31,broken clouds
258,Moron,AR,-34.6534,-58.6198,66.06,88,75,5.75,broken clouds
259,Lebanon,US,36.2081,-86.2911,45.36,73,0,0.0,clear sky
260,Nanortalik,GL,60.1432,-45.2371,33.73,66,3,28.68,clear sky
261,Bonavista,CA,48.6499,-53.1147,53.13,90,100,11.7,overcast clouds
262,Ayan,RU,56.45,138.1667,41.09,51,99,16.28,overcast clouds
263,Aknada,RU,42.4016,46.1723,45.23,86,25,6.35,scattered clouds
264,Buchanan,LR,5.8808,-10.0467,74.62,92,99,4.05,moderate rain
265,Serra Talhada,BR,-7.9919,-38.2983,70.75,75,79,11.92,broken clouds
266,Inyonga,TZ,-6.7167,32.0667,71.42,42,99,5.08,overcast clouds
267,Meadow Lake,US,34.8014,-106.5436,57.15,45,69,3.4,broken clouds
268,Adiake,CI,5.2863,-3.304,74.59,92,48,4.85,moderate rain
269,Maraa,BR,-1.8333,-65.3667,74.16,98,99,1.74,overcast clouds
270,Gat,IL,31.61,34.7642,69.4,74,49,1.95,scattered clouds
271,Cabo San Lucas,MX,22.8909,-109.9124,79.61,84,38,10.47,scattered clouds
272,Soe,ID,-9.8607,124.284,85.96,50,63,5.1,broken clouds
273,Dukat,RU,62.55,155.55,7.52,90,100,9.22,overcast clouds
274,Morgan City,US,29.6994,-91.2068,46.0,93,0,0.0,clear sky
275,Tabou,CI,4.423,-7.3528,74.46,92,96,3.89,moderate rain
276,Aswan,EG,24.0934,32.907,74.86,37,1,9.37,clear sky
277,Rusape,ZW,-18.5278,32.1284,54.86,81,41,3.31,scattered clouds
278,Oistins,BB,13.0667,-59.5333,80.69,89,40,13.8,scattered clouds
279,Maraba,BR,-5.3686,-49.1178,80.78,83,0,3.44,clear sky
280,Itarema,BR,-2.9248,-39.9167,78.22,81,10,16.87,clear sky
281,Dingle,PH,10.9995,122.6711,85.93,72,93,4.81,heavy intensity rain
282,Aklavik,CA,68.2191,-135.0107,25.97,93,100,5.14,overcast clouds
283,Salalah,OM,17.0151,54.0924,78.89,57,0,2.3,clear sky
284,Natal,BR,-5.795,-35.2094,77.22,73,40,8.05,scattered clouds
285,Yangjiang,CN,21.85,111.9667,68.56,69,100,6.87,overcast clouds
286,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,83,40,5.75,scattered clouds
287,Dunedin,NZ,-45.8742,170.5036,52.81,73,97,18.01,overcast clouds
288,Salta,AR,-24.7859,-65.4117,63.57,80,75,6.91,broken clouds
289,Linhares,BR,-19.3911,-40.0722,69.48,89,90,1.41,overcast clouds
