City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Maraba,BR,80.78,clear sky,-5.3686,-49.1178,Hotel Del Principe
280,Itarema,BR,78.22,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
281,Dingle,PH,85.93,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
283,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
284,Natal,BR,77.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
285,Yangjiang,CN,68.56,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
286,Puerto Del Rosario,ES,71.35,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
288,Salta,AR,63.57,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
289,Linhares,BR,69.48,overcast clouds,-19.3911,-40.0722,Hotel Conceição
291,Lagoa,PT,65.55,overcast clouds,39.05,-27.9833,Casa Das Faias
293,Siena,IT,63.52,broken clouds,43.2167,11.4,More Di Cuna
296,Santa Rosa,PH,89.58,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
297,Bahia Blanca,AR,63.18,overcast clouds,-38.7196,-62.2724,Hotel Argos
299,Tiznit,MA,73.54,scattered clouds,29.5833,-9.5,
300,Port Moresby,PG,83.03,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
301,Yulara,AU,79.92,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
303,Alugan,PH,82.54,overcast clouds,12.2188,125.4808,JM Lodge
304,San Policarpo,PH,82.02,overcast clouds,12.1791,125.5072,Agapita M. Nicart
305,Eyl,SO,79.66,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
307,Zhangye,CN,61.77,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
308,Wucheng,CN,73.51,scattered clouds,29.6008,118.175,Xiuwu Restaurant
310,Adrar,MR,82.65,broken clouds,20.5022,-10.0711,
312,Umm Lajj,SA,80.85,broken clouds,25.0213,37.2685,Moon light Furnished Units
317,Quballat,TN,63.21,clear sky,36.5418,9.6633,Dar 3ezdin chalby
318,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
319,Sillanwali,PK,77.7,clear sky,31.8261,72.5398,Channanpura
321,Burnie,AU,62.94,few clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
324,Monteagudo,BO,64.85,overcast clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
326,San Patricio,US,64.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
328,Naze,JP,77.92,clear sky,28.3667,129.4833,Shishime Hotel
329,Kikwit,CD,69.51,light rain,-5.041,18.8162,HOTEL PLACE YALABA
331,Huarmey,PE,61.36,broken clouds,-10.0681,-78.1522,Hotel Miramar
336,Baikunthpur,IN,74.52,clear sky,23.25,82.55,Hotel Shree Annapurna
338,Sena Madureira,BR,76.66,scattered clouds,-9.0656,-68.6569,Hotel Central
341,Maine-Soroa,NE,78.84,clear sky,13.2114,12.0241,Complexe
342,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
343,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
344,Torres,BR,68.83,overcast clouds,-29.3353,-49.7269,Farol Hotel
345,Airai,TL,76.48,overcast clouds,-8.9266,125.4092,
347,Pacific Grove,US,74.25,clear sky,36.6177,-121.9166,Lovers Point Inn
348,Coruripe,BR,73.0,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
349,Beira,MZ,73.49,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
353,Chifeng,CN,67.3,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
354,Marzuq,YE,70.95,clear sky,14.4,46.4667,حيد القفلة
356,Mogadishu,SO,78.24,few clouds,2.0371,45.3438,Hotel Juba
359,Potiskum,NG,74.64,few clouds,11.7091,11.0694,Tamir Hotel Ltd
360,La Asuncion,VE,82.13,clear sky,11.0333,-63.8628,Colinas de Matasiete
361,Port Blair,IN,81.99,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
362,Lorengau,PG,86.32,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
363,Changping,CN,60.44,overcast clouds,40.2186,116.2197,Huachang Hotel
364,Sakaiminato,JP,66.18,few clouds,35.55,133.2333,Italian pasley
366,Cruz Alta,BR,62.4,moderate rain,-28.6386,-53.6064,Hotel Linassi
368,Chokwe,MZ,69.49,clear sky,-24.5333,32.9833,Complexo Sonho Real
369,Jining,CN,67.64,overcast clouds,35.405,116.5814,Yunhe Star Hotel
370,Salgueiro,BR,72.84,broken clouds,-8.0742,-39.1192,Hotel Requinte
373,San Juan,AR,62.06,broken clouds,-31.5375,-68.5364,Hotel Provincial
375,Mahibadhoo,MV,81.14,overcast clouds,3.7833,72.9667,Omadhoo Inn
376,Tahta,EG,69.1,few clouds,26.7693,31.5021,فندق الزيات
378,Dubbo,AU,69.93,light rain,-32.25,148.6167,Quality Inn Dubbo International
379,Businga,CD,70.39,overcast clouds,3.3333,20.8833,
380,Kavaratti,IN,81.05,broken clouds,10.5669,72.642,Green leaf
382,Chipinge,ZW,60.15,scattered clouds,-20.1883,32.6236,Chipinge Breeze Lodge
383,Mahon,ES,70.36,broken clouds,39.8885,4.2658,ARTIEM Capri
384,Puerto Madryn,AR,66.27,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
386,Bandarbeyla,SO,79.66,light rain,9.4942,50.8122,JABIR HOTEL
387,Yaan,NG,72.91,overcast clouds,7.3833,8.5667,
391,Bogande,BF,79.36,broken clouds,12.9714,-0.1436,Auberge Wendkouni
392,Xinzhou,CN,63.63,overcast clouds,38.4092,112.7333,Shell Hotel - Xinzhou
397,Mahmudabad,IN,77.97,clear sky,27.3,81.1167,"Haider Services, Baitul Anwar"
398,Kasongo-Lunda,CD,68.54,light rain,-6.4667,16.8167,
399,Biak,ID,85.48,overcast clouds,-0.9131,122.8766,Penginapan Kim
402,Yokadouma,CM,69.03,moderate rain,3.5167,15.05,Auberge trois étoiles
403,Camana,PE,61.05,broken clouds,-16.6228,-72.7111,Hostal Morales
404,Wuzhou,CN,81.61,overcast clouds,23.4833,111.3167,Wuzhou Hostel
407,Ahipara,NZ,61.0,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
410,Bloemfontein,ZA,60.28,clear sky,-29.1211,26.214,Protea by Marriott Hotel Bloemfontein
412,Abu Samrah,SY,61.99,clear sky,35.3029,37.1841,
416,Jibuti,DJ,74.16,clear sky,11.5,42.5,Orchid Main Camp Goubet
418,Abu Dhabi,AE,82.42,haze,24.4667,54.3667,Beach Rotana
421,Bonao,DO,73.11,few clouds,18.9369,-70.4092,"Hotel Pool City Bar & Lounge, Bonao"
422,Nouadhibou,MR,72.7,clear sky,20.931,-17.0347,El Medina
423,Longonjo,AO,65.3,overcast clouds,-12.9067,15.2533,
424,Tecoanapa,MX,76.37,overcast clouds,16.5167,-98.75,Hotel Manglares
426,Vila Franca Do Campo,PT,63.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
427,Xiamen,CN,80.65,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
429,Kushima,JP,71.08,clear sky,31.4583,131.2333,Hanaoka
430,Vila Do Maio,CV,74.19,broken clouds,15.1333,-23.2167,Hotel Marilu
431,Bombay,IN,85.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
432,Santa Marta,CO,83.89,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
433,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
436,Owando,CG,69.87,moderate rain,-0.4819,15.8999,Exaunel Hotel Owando
437,Maldonado,UY,61.99,overcast clouds,-34.6667,-54.9167,La Cimarrona
439,Payakumbuh,ID,83.98,overcast clouds,-0.2202,100.6308,Dalimo Homestay
442,Abeche,TD,79.11,broken clouds,13.8292,20.8324,Assaleh Hamdan Haroune
443,Umtata,ZA,64.96,clear sky,-31.5889,28.7844,LLZZ Boutique Lodge
445,Ouadda,CF,66.7,overcast clouds,8.0777,22.4007,
446,Kirakira,SB,85.06,overcast clouds,-10.4544,161.9205,SanBiz Lodge
450,Banjar,ID,86.32,light rain,-8.19,114.9675,The Hamsa Resort
451,San Rafael,AR,61.41,broken clouds,-34.6177,-68.3301,Hotel San Rafael
453,Poya,NC,74.79,broken clouds,-21.35,165.15,
454,Porto Murtinho,BR,74.46,clear sky,-21.6989,-57.8825,Hotel Pantanal
455,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
456,Ler,SS,71.31,scattered clouds,8.3018,30.1418,Leer Humanitarian Hub
460,Casino,AU,66.67,overcast clouds,-28.8667,153.05,Squatters Homestead Motel
461,Takoradi,GH,76.06,scattered clouds,4.8845,-1.7554,Raybow International Hotel
462,Angra Dos Reis,BR,70.65,scattered clouds,-23.0067,-44.3181,Mercure Angra dos Reis
466,Gushi,CN,68.4,clear sky,34.6425,109.5843,Wansheng Yuan Hotel
467,Phangnga,TH,82.44,overcast clouds,8.4509,98.5298,Sunimit Mansion
468,Araouane,ML,83.82,overcast clouds,18.9048,-3.5265,
470,Praya,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
474,Sabang,ID,81.0,overcast clouds,5.8933,95.3214,Hotel Citra
476,Solano,US,77.4,clear sky,38.2333,-121.9511,Westwind Inn
478,Laguna,US,75.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
483,Najran,SA,61.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
484,Zhongxing,CN,68.05,scattered clouds,33.7039,118.6792,New Century Grand Hotel Siyang
